text,sentiment
"kita jadi tahu , kemampuan ketua mpr plus ketum pan . ternyata setingkat anak sd , yang tidak bisa membedakan jobdeska nya . itu sungguh memalukan . partai penyebar isu bohong dan penolak uu ormas . 2019 mari kita tenggelamkan",negative
makan di tengah hutan dengan nuansa alam yang indah sekali . ditemani oleh suara gamelan sunda yang membuat kita sangat dekat dengan alam . tempat makan berupa saung saung traditional .,positive
"namun pagi ini saya lari pagi dengan sedikit kecewa , - ragunan sangat kotor , banyak sampah berserakan , sangat mengganggu pemandangan",negative
tidak tabah,negative
"aku sih tidak begitu tertarik dengan pertandingan nya . buat ku momen emosional nya justru pas diakhir . sedih saja melihat pemain-pemain liperpul nangis , kiper nya minta maaf sambil berlinang air mata . dia pasti menyesal sekali .",negative
"restoran yang romantis , bisa melihat pemandangan kota bandung yang bagus di malam hari . udara nya juga sejuk . makanan yang disediakan mulai dari masakan sunda sampai international . rasa makanan oke . harga tergolong mahal . penyajian makanan agak lama .",positive
"tempat favorit kami karena selain masakan yang lezat , pelayanan yang ramah , tempat nya pun nyaman . pemandangan yang indah , yang dapat membuat hati terhibur walau masih harus melanjutkan perjalanan yang jauh . untuk kantin , mungkin perlu ditambah barang barang kerajinan masyarakat setempat dan boleh diganti secara periodik supaya pengunjung bisa membeli kenangan-kenangan dari rumah makan ini .",positive
"tolong ya minimal , demi kemudahan nasabah agar di dalam stasiun tigaraksa diberikan mesin atm beserta iklan bank bni",neutral
"ejak berakhir nya orde baru yang dipimpin presiden suharto dan mulai nya periode reformasi , setiap pemilu di indonesia dianggap bebas dan adil .",neutral
"menyenangkan , makanan enak tapi ya pelayanan kurang , terlalu lama makanan yang dipesan , minuman juga enak enak",negative
"untuk yang kebingungan cari tempat makan waktu lagi kumpul bareng teman atau keluarga tapi punya selera yang berbeda2 , tempat ini direkomendasikan karena di sini menu nya lengkap . mulai dari makanan indonesia , makanan asia , westren makanan sampai yang bergaya eropa juga ada . turis mantan negara pun banyak yang berkunjung ke sini .",positive
"masakan di restoran ini , rasanya seperti melayang di udara dan bumbu nya selalu meresap di lidah . sangat luar biasa .",positive
"ditunggu saja , pasti dikasih . biasa maksimal seminggu kok",neutral
"memang kamu pikir ajaran kristen yang mengatakan orang-orang non kristen disebut domba sesat , itu tidak menghina ? coba deh sebelum kamu lompat pagar lebih jauh , cek dan analisa ajaran-ajaran kristen tersebut bukan hanya menghina , kristen juga memuat ajaran cabul yang tidak pantas disebut sebagai kitab suci",negative
tiba-tiba merasa tidak menyesal sama sekali plus bangga atas keputusan dan sikap yang sudah diambil karena tidak perlu lagi buang-buang waktu buat hal yang not even sepadan to di .,positive
"steak di sini cukup enak dengan wine yang mantap . udara sejuk , banyak pepohonan dan pemandangan yang luar biasa . kursi-kursi unik seperti di eropa zaman dahulu .",positive
"roti unyil , toko kue yang menyediakan berbagai macam roti / kue dengan ukuran cukup kecil , tetapi lezat sekali , sangat dikenal di bogor bandung",positive
"untuk makan sambil memanjakan mata dengan pemandangan yang indah dipakar kafe tempat nya menu makanan yang tersaji tidak jauh beda sih dengan kafe pada umum nya tetapi tempat nya ini yang bukan keren terletak di atas tebing teman hahhahaha mau makan saja harus perjuangan naik nya tetapi keren banget pemandangan nya , kalau mau datang pas tinggi season mending reservasi dulu biar tidak kena daftar tunggu .",positive
saya hanya membayangkan jika urban fpi hti berkuasa di negeri ini : legalitas bunuh bunuh bakar bakar terhadap yang tidak disukai akan jadi kenyataan .,negative
firdaus dukung suhartono calon wawli dari demokrat,neutral
jaksa enggan tanggapi soal jumlah uang diterima setya novanto,neutral
"di kopitiam oey braga ini kita dapat secara langsung melihat proses pengilingan biji kopi hingga menjadi bubuk kopi dan kita dapat memilih beberapa jenis kopi dengan aroma dan rasa yang berbeda , sangat cocok untuk oleh-oleh .",positive
masa ya harus datang ke gerai indosat dan komplain marah-marah di sana,negative
"waktu malam-malam sekitar pukul 24 saya ke sini untuk mencari makan . pelayanan cukup ramah , rasanya enak seperti di cabang kfc yang lain",positive
mobil toyota rush mengalami kecelakaan di ruas tol jomo jombang - mojokerto .,neutral
"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",negative
bagi penulis-penulis gpu yang berminat ikut serta dalam gerakan 4b bersama redaksi gpu pada tanggal 25 maret 2018 .,neutral
"ini kunjungan saya yang ketiga ke sapu lidi . maka saya akan memulai review saya dengan hal-hal yang perlu diperbaiki terlebih dahulu . saya dibesarkan dengan ajaran bahwa tempat / rumah seburuk apa pun harus memiliki kamar mandi / toilet yang bersih . terus terang , jika saya akan ke sapu lidi lagi , saya tidak akan menggunakan toilet nya . dinding toilet hanya ditutup semen , dan setengah terbuka sehingga beberapa hewan bisa masuk . saya jadi takut .",negative
"resto didesain menarik dan nyaman , makanan yang ditawarkan kebanyakan makanan nusantara . jika ingin mencoba soup buntut yang enak dengan tempat yang nyaman ya di sini . rasa dan harga sebanding , mantap dan oke",positive
dan akhirnya saya menyerah dengan indosat . paket internet yang kata nya murah tetapi hanya bisa bikin marah,negative
pernah percaya kalau body lotion citra bikin bulu tambah banyak,neutral
mobil terpopuler di uni emirat arab adalah toyota kijang innova yang sepenuh nya diproduksi di indonesia .,neutral
satu jerigen pengecer tembak 5000 perak bagimana bbm tidak langkah di tinambung polman . kacau ini,negative
aku memesan jaket gunung eiger,neutral
agaricpro merupakan produk herbal madu terfermentasi yang multikompleks khasiat nya karena merupakan kombinasi dari berbagai tumbuhan herbal,neutral
"rumah stroberi ini sangat luas dan enak buat nongkrong ramai-ramai sekeluarga . stroberi nya sih biasa saja ya . makanan juga standar sih tidak unik-unik amat . hanya enak saja tempat nya . bisa petik stoberi juga , hanya harus pesan dan pas lagi musim petik .",positive
seorang warga warakas mengaku menyesal pilih jokowi,negative
"saya mau tutup kartu kredit dari beberapa bulan lalu , nih .",neutral
"untuk yang suka pedas , pilih sambal domba . ayam bakar / goreng rempah nya enak . tahu yunyi bakar / goreng nya juga enak",positive
muka kayak cepot . di medan sudah ku matikan anak itu,negative
"hai , transaksi ini : 180604195019 sudah kami bantu remit , sedangkan transaksi ini : 170584351549 silakan kamu hubungi hubungan buka bantuan pada hubungan berikut .",neutral
fpi belum bubar ya . jika terus-terus buat rusa basmi majalah di nkri daripada pusing . kita ada penegak hukum,negative
dua mahasiswa unair tenggelam di pantai bantal,neutral
"saya mengikuuti lomba blog cinta rupiah bank indoneisa - net media dan sudah men - submit artikle pada 22 desember 2017 lalu , tapi sampai sekarang status artikel saya masih unpublished . mohon penjelasan nya .",neutral
jauhi narkoba adalah salah satu cara yang bisa digunakan untuk meningkatkan kualitas anak bangsa .,neutral
": dapatkan voucher pulsa rp 25.000 , - untuk dua orang yang beruntung setiap hari nya hanya dengan retweet bniquotes",neutral
menteri susi terima brevet kehormatan hiu kencana,neutral
"terletak di pusat kota , restoran ini hampir tidak pernah sepi pengunjung . saya sudah berkali-kali memilih tempat ini karena suasana yang sangat nyaman dan makanan yang enak . makanan yang paling saya suka di sini adalah grilled salmon nya . rekomendasi banget .",positive
"memang enggak enak terjebak macet , tapi lebih tidak enak lagi kalau terjebak masa lalu",negative
ya allah minggu ini masih harus lpm kenapa sudah ada feeling saja minggu ini akan terasa melelahkan,negative
"tidak bisa saya utarakan kebahagiaan saya saat ini , kemarin malam saya makan malam dengan seseorang yang sekarang sudah menjadi pacar saya , kita dekat lebih dari 4 tahun , dan baru tadi malam saya memberanikan diri untuk menyatakan nya . berkat pelayanan dan suasana dan juga bantuan mereka karyawan-karyawan the peak . pacar saya akhirnya menerima saya untuk jadi pacar nya . saya sangat merekondasikan tempat ini .",positive
demi apa pun gua ingin marah indosat cacat banget si,negative
"jika nantinya terdapat kendala lainnya dan ingin menanyakan seputar tokopedia , jangan sungkan menghubungi kami kembali .",neutral
pangeran hyang manda agung dari sancang,neutral
"rekan nya dibui , anggota fpi satroni mapolresta bekasi -",neutral
"senang sekali bisa petik stroberi sendiri , stroberi nya pun banyak dan matang . meski mahal , tetapi puas . : pelayan nya pun ramah dan baik . syarat untuk petik stroberi : harus beli paket makan untuk 4 orang , 130 ribu - ayam goreng nasi , 150 ribu - gurame goreng nasi stroberi yang dipetik bayar 10.000 / ons",positive
"makanan cina yang layak , porsi besar , staf cepat , tapi lambat dalam memasak , meskipun tamu tidak banyak . harga mahal . namun , mereka sangat menjaga kebersihan .",positive
"memiliki konsep restoran yang sesuai dengan nama nya , dengan cara meceritakan perkembangan jalan braga di setiap sudut tembok nya . restoran ini menyajikan menu-menu handalan khas bandung . buat lidah saya , makanan di sini sangat enak karena bumbu nya yang pas dan orisinil .",positive
susah payah selfie demi si samsung galaxy . yang penting usaha dan tetap bernyanyi,neutral
"cek apakah berlangganan konten tertentu dengan tekan 123 44 ya kak , jika butuh bantuan bisa mention tim juga ya",neutral
yuk ikutan kejutan retweet bniquotes berhadiah pulsa masing-masing . 25.000 untuk 2 orang pemenang setiap hari nya,neutral
"resto ini suasana nya cukup nyaman dengan layanan nya yang baik . tersedia berbagai menu masakan seafood berbahan dasar kepiting , udang , kerang , bawal dan kerapu . udang goreng mentega rasanya enak dan mantap . udang asam manis rasanya manis dan segar . kepiting saus singapore rasanya sangat mantap . rata-rata masakan nya enak dan mantap .",positive
saya sudah punya kode akses dan pin,neutral
macet bet bikin pusing,negative
makmur,positive
"meski baru pertama kali terjun ke piala dunia , traveloka berani menjadi satu-satunya sponsor dari indonesia pada piala dunia 2018 di rusia .",positive
"ah payah banget manchester city bisa kalah begitu dikandang -- memang tim cupu liga champions . diliga doang jago , memalukan inggris saja .",negative
banyak tingkah anjing . kesal saya melihat nya,negative
aduh sangat memalukan . mengaku umat islam tapi yang keluar dari mulut nya kotoran ! ini gara-gara faham new khawarij yang sudah menyelusup ke sebagian umat islam kalangan yang kurang ilmu .,negative
"restoran kedai nyonya rumah berada di tengah kota , tidak jauh dari jalan riau . sehingga bagi yang berkunjung ke jalan riau setelah lelah shoping , bisa mampir mencoba makanan di sini .",positive
"saya sarankan ke teman-teman , daripada tim pun pelayanan pelanggan lewat 185 / 186 , prefer ke sini saja lebih cepat .",neutral
putin sarankan rusia dan jepang sepakati perjanjian damai,neutral
"menyakitkan adalah ketika gue cemburu sama lo , tapi gue cuma bisa mendem . :",negative
"sebusuk-busuk nya pemimpin yang beragama islam , itu lebih layak dan lebih pantas daripada pemimpin non islam .",negative
"gerindra , partai pki zaman sekarang . pendana mca atau saracen . pemecah nkri . jualan agama dan mayat walau ketum nya tidak bisa ngaji . muslim kah ?",negative
calon pelamar cpns hanya dapat mendaftar di 1 instansi dan 1 formasi jabatan,neutral
restoran sunda yang memiliki konsep makan di sawah . pemandangan nya seperti di desa . makanan nya enak,positive
aku mau cemburu juga sapu nya hak,negative
"resto makanan barat dengan harga kaki lima , ditambah pemandangan alam yang indah , suasana yang romantis , asal jangan hujan , karena di teras dibiarkan terbuka . resto favorit keluarga saya .",positive
semenjak jokowidodo pki anak keturunan anjing ini menjadi presiden . semakin banyak cina-cina anjing komunis itu memasuk narkoba ke dalam nkri . dasar mamak dan isteri kau pelacur pki anjing,negative
"menang di pulau jawa , ppp yakin suara nya di 2019 terdongkrak",neutral
aku bangga net tv selalu menghadirkan program-program tv yang berkualitas,positive
"lokasi nya berada di pvj tepat nya di dekat fitness celebrity . seperti calais pada umum nya , tempat nya bersih dengan desain alan - ala kafe . favorit saya di sini adalah bule yang meletus-letus .",positive
"kami sekeluarga kalau ke bandung pasti selalu menyempatkan diri untuk makan di kampung daun , meskipun kadang menunggu lift nya lama kami tetap ingin menikmati makanan di kampung daun . menu andalan kami di sini ayam bakar dan nasi bakar , wedang jahe , pisang goreng coklat keju , sayur asam banyak lagi sih yang enak di sini .",positive
"ahmad dhani suka-suka - an ikut-ikut politik , mengerti juga tidak .",negative
"terima kasih atas jasa nya , saya sangat puas , pelayanan nya sangat baik dan ramah , pendamping nya juga keren , menyenangkan .",positive
. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,positive
menyesal beli first press regular karena isi photobooka nya alur seperti jodoh,negative
"saya datang ke sini karena penasaran melihat beberapa ulasan dari trip advisor . pelayanan nya baik dan ramah . mereka cepat tanggap saat kami memerlukan . namun sangat disayangkan kenapa makanan nya lama sekali datang , setelah setengah jam kemudian makanan yang kami order baru datang , untuk minuman datang nya malah setelah makanan datang duluan . harus nya kan minuman nya dulu .",negative
"untuk perihal pergantian rekening untuk pembayaran autodebet bpjs , bpk luqman bisa datang ke kantor cbg bank mandiri pengajuan autodebet tersebut ya untuk dapat dilakukan pemberhentian terlebih dahulu .",neutral
"bisa melihat bandung dari sini . pemandangan nya benar-benar juara . makanan nya jempol 4 tangan sama kaki , jadi enak dan so deliciosooo",positive
aku suka nasi goreng . setiap hari makan nasi goreng aku tidak akan bosan,positive
"silakan ku njungi kedai kita buat yang kemarin cari handphone advan , xiaomi redmi 4a dan nokia 150",neutral
mati lho ahli zon munafik kau . maka dari itu jangan sok bersih . kau sudah tidak ada harga nya di mata rakyat banyak mengoceh macam burung ku kelaparan,negative
"ini satu-satunya tempat makan masakan padang yang mantap ! tidak ada dua nya . di padang asli nya pun tetap kalah sama bu mus . juara ! favorit keluarga . buat saya semua macam masakan nya memiliki khas masing-masing . bahan , rasa , dan pengolahan semua lewat ! . tidak bosan deh makan di sini .",positive
toko kami menjual ikea tokig pengering sayuran - salad spinner - magic Jakarta,neutral
"ada yang minat album winter exo ? 215k masih sealed 1st press , dapat 2 poster , dan dapat limited postcard dari dengan . minat pesan langsung aku ya hehehe foldedhands",neutral
paris van java tempat cuci mata yang menyenangkan banyak toko-toko di sini mau cari apa saja ada di sini . setelah lelah kita bisa menikmati makanan di restoran yang banyak tersebar di pvj . tempat nya enak untuk bersantai dengan keluarga,positive
jutek banget deh karyawan indosat yang di graha indosat,negative
suasana perbukitan yang segar ditambah varian hidangan yang enak memang pas dinikmati di udara terbuka . pelayanan nya juga ramah .,positive
"hati-hati , ini adalah trik mereka untuk menutupi korupsi mereka .",negative
sudah pernah ikutan lelang di dan pernah menang . barang nya memang bagus sih gila . salut sama admin nya,positive
"ya itu mbak , mie nya itu kelembekan , aneh rasanya",negative
tolong dicarikan driver baru triliun - gr12290397000,neutral
creamy cheese pizza nya enak . tiramissunyaa juara dicoba ! harga nya lumayan terjangkau karena dekat kampus mungkin .,positive
baik terima kasih banyak,neutral
kasau terima kunjungan dirut bni di mabesau,neutral
"batagor kingsley batagor paling enak di bandung . apalagi kuah nya yang sangat lembut dan hangat . seporsi tidak cukup , perlu dua porsi . rasa ikan nya sangat kuat dan cukup mengenyangkan sebagai menu utama makan siang , jadi tidak masuk kategori cemilan .",positive
kali ini cukup belanja rp . 60 ribu di homecarealfamart bisa tebus minyak goreng cuma gopek,neutral
dapatkan hardisk dengan harga promo untuk setiap pemesanan jasa isi hardisk penuh 1 tb,neutral
jangan tertipu pencitraan pak jokowi dengan tidak mau tanda tangan uu md3,negative
jual stiker kompor 2 tungku hello kitty,neutral
aku buka grab . tidak ada satu pun grab driver yang online karena tengah malam .,neutral
"makanan nya enak , pemandangan dari restoran juga sangat bagus , udara nya sejuk sekali , bagus pelayanan . cocok untuk santai pada saat sore hari .",positive
"nyaman , bersih , makanan yang enak , dan sejuk ! saung-saung yang nyaman lengkap dengan bantal dan guling , suara air mengalir juga alunan musik sunda . selain tempat dan makanan yang enak , yang berkesan dari tempat ini adalah petugas toilet yang sangat ramah . :",positive
makan di sini jangan pas makan siang . antre nya . makan pakai piring seng . ada kue balok minuman makanan zaman dulu juga ada . rute makanan standar sih . standar banget .,negative
"banyak sekali warung makan di kota bandung , namun , warung ibu imas ini memiliki ciri khas yang tiada dua nya , yaitu sambal nya yang luar biasa pedas . bagi lidah orang sumatera atau minang cocok banget untuk dicoba , warung ibu imas menyajikan berbagai macam lauk pauk yang bisa di santap dengan harga yang relatif terjangkau .",positive
"jual aneka minuman dan jus juga . favorit aku sih beli jus pisang , jus pisang nya dicampur pakai susu coklat kental manis begitu , jadi lebih enak .",positive
"saya mengunjungi rumah stroberi di bandung pada selasa siang , 02 jun 2015 . akses masuk ke tempat ini cukup mudah sebab disediakan petunjuk jalan ke lokasi ini di jalanan . selain tempat makan juga ada kebun stroberi dan wahana mainan yang sedang dibangun . kebun stroberi hanya dibuka sampai siang . tempat parkir juga luas . rekomendasi untuk bermain di tempat ini .",positive
tempat nya santai . menu mie nya banyak macam nya . jadi harus datang ke sini lagi supaya bisa dicoba semua .,positive
order online shop dengan gosend jadi lancar tanpa ribet mengantar,positive
"islam itu sama sekali bukan rahmatan lil alamin tapi la natan lil alamin . ajaran nya berdarah-darah : potong tangan pencuri , bunuh orang murtad , bunuh lgbt , rajam pezina , perangi kafir .",negative
pan yakin bahwa hasil pilkada akan berpengaruh ke pilpres .,neutral
makana nya enak . harga nya juga tidak terlalu mahal . wajib coba sanwich andalan mereka yang tengah nya ada telur nya . enak sih . untuk mi benang nya juga lumayan kok,positive
"keren banget tempat nya . apalagi buat kongkow . beda dengan tempat / restoran yang lain karena berada di lantai 18 trans hotel . dibagian luar restoran , ada lantai kaca transparan . kita bisa lihat suasana di bawah . bikin ngeri sih tapi menyenangkan . bisa buat uji nyali apakah kita takut ketinggian atau tidak . untuk rasa makanan nya , oke banget rasanya . baik yang menu lokal ataupun makanan barat . top .",positive
"sinergi bni - kementan - tni penyaluran kartu dan kur tani menuju ketahanan pangan nkri . hilangkan sistem ijon , perangi rentenir , lindungi petani .",neutral
"atmosfir yang menyenangkan , yang terpenting membuat nyaman anak anak . menu pun cocok untuk anak anak .",positive
"kangkung hotplate sapi nya sebenarnya enak . tapi kami kaget melihat tali rafia dalam makanan kami . ketika dikomplain , tidak ada permintaan maaf sama sekali , hanya pembelaan . bahkan kami membayar satu porsi penuh walaupun pesanan kami dengan jelas tertulis setengah porsi .",negative
prabowo harus nya lihat animo masyarakat . segera lengserkan si fadli jika ingin suara gerindra tidak merosot di 2019 .,negative
gelisah,negative
voucher isi ulang kuota data tri 33 gb 30 hari harga nya 75 rb,neutral
"pertama kali saya menemukan menu burung puyuh di moi dan langsung mencoba nya . bahkan sempat ngobrol dengan pemilik dan franchisor nya . mereka sangat ramah dan menyenangkan . saya coba yang direkomendasikan yaitu puyuh perancis cabe rawit dengan nasi merah . pedas nya enak sekali , tetapi daging nya kurang empuk sedikit . rasanya agak mirip dengan burung dara , tapi besar . mungkin bisa dicoba sensasi baru .",positive
bni life melakukan renovasi pesantren dan madrasah di tasikmalaya,neutral
cinta deh sama lucinta luna orang nya baik dan ramah,positive
terima kasih ya sudah sabar mendengar bacotan aku walaupun pada akhirnya kamu bosan dan menyerah,negative
"pertama kali ke sini pas valentine , dari dulu memang sudah masukkin coco rico ke daftar buat dicoba . akhirnya ke sini juga , suasana nya memang mendukung banget apa lagi malam dan enak nya di lt 2 di ujung yang mengarah ke jalan . pelayanan memang sudah oke , cuma tidak suka saja sama makanan nya dari segi rasanya sih . sebenarnya harga nya juga terlalu mahal buat saya .",negative
"supaya adil , bikin saja patung aisyah cilik lagi ngangkang di depan masjid istiqlal , nabi muhammad kan doyan pepe anak kecil",negative
duh orang-orang dari gerindra tidak ada yang beres . anies dipecat dari menteri . fadli zon koar-koar tidak jelas .,negative
jual boneka kucing tidur alas lingkaran di lapak pito ch pitoch,neutral
panwaslu bekasi tangani dugaan politik praktis tiga pejabat daerah,neutral
pilkada ulang di sampang digelar 27 oktober,neutral
"tempat nya bagus buat foto foto , dan sejuk lagi udara nya , tapi jangan coba coba makan di situ , sudah harga nya mahal , tidak enak lagi , menyesal deh",negative
"makin terang , arah dukungan pdip ke ben brahim - nafiah - kalamanthana",neutral
jangan pilih jokowi di pilpres 2019 ! dia itu berpihak pada etnis cina !,negative
2 hari yang lalu saya sengaja ingin mencoba resto dapur pandan wangi bersama istri saya pada saat memasuki parkiran di depan saya ada motor yang akan parkir dan dibantu dengan biasa oleh tukang parkir nya saya sempat tertahan di area prkir karena sedang menyapa teman saya yang kebetulan sudah sampai di lokasi .,neutral
sby : jangan sesekali mengancam dan mengkriminalisasi partai demokrat,neutral
"indihome memang tidak beres , bayar mahal tetapi fasilitas 0",negative
"kemarin memesan bakau goreng , harga 23 ribu isi 3 , seperti kulit pangsit dengan isi kucai dan ayam , dicocol pakai saos , untuk rasa lumayan enak , tetapi porsi nya kecil . mesen kwetiau penang pedas dan mi penang pedas , harga 35 ribu , sama bumbu tapi beda mie nya saja untuk rasa enak , porsi lumayan kenyang .",positive
